PRISM Time Series Data
Locations: 4
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2021-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
North Rim,-112.0860,36.2819,2631,2021-02-05,0.00,-9.0,-0.8,7.4
North Rim,-112.0860,36.2819,2631,2021-02-06,0.00,-4.6,2.5,9.6
North Rim,-112.0860,36.2819,2631,2021-02-07,0.00,-6.3,2.5,11.3
North Rim,-112.0860,36.2819,2631,2021-02-08,0.00,-3.8,4.6,13.1
North Rim,-112.0860,36.2819,2631,2021-02-09,0.00,-3.9,2.9,9.6
North Rim,-112.0860,36.2819,2631,2021-02-10,0.00,-3.9,2.1,8.0
North Rim,-112.0860,36.2819,2631,2021-02-11,0.00,-4.4,2.4,9.2
North Rim,-112.0860,36.2819,2631,2021-02-12,0.00,-5.1,2.6,10.2
North Rim,-112.0860,36.2819,2631,2021-02-13,0.00,-3.8,1.3,6.4
North Rim,-112.0860,36.2819,2631,2021-02-14,6.37,-7.2,-3.5,0.3
North Rim,-112.0860,36.2819,2631,2021-02-15,0.00,-11.2,-4.6,1.9
North Rim,-112.0860,36.2819,2631,2021-02-16,4.39,-8.5,-4.4,-0.4
North Rim,-112.0860,36.2819,2631,2021-02-17,0.00,-10.0,-3.7,2.5
North Rim,-112.0860,36.2819,2631,2021-02-18,0.27,-14.4,-8.2,-1.9
North Rim,-112.0860,36.2819,2631,2021-02-19,0.00,-16.9,-5.9,5.2
North Rim,-112.0860,36.2819,2631,2021-02-20,0.00,-5.2,3.4,11.9
North Rim,-112.0860,36.2819,2631,2021-02-21,0.00,-10.6,-1.8,7.0
North Rim,-112.0860,36.2819,2631,2021-02-22,0.00,-10.7,-0.5,9.6
North Rim,-112.0860,36.2819,2631,2021-02-23,0.00,-4.7,4.7,14.1
North Rim,-112.0860,36.2819,2631,2021-02-24,0.00,-2.8,5.7,14.2
North Rim,-112.0860,36.2819,2631,2021-02-25,0.00,-9.6,-0.7,8.1
North Rim,-112.0860,36.2819,2631,2021-02-26,0.00,-10.8,-2.0,6.9
North Rim,-112.0860,36.2819,2631,2021-02-27,0.00,-6.7,2.4,11.4
North Rim,-112.0860,36.2819,2631,2021-02-28,0.00,-16.2,-6.3,3.6
North Rim,-112.0860,36.2819,2631,2021-03-01,0.00,-15.2,-8.3,-1.4
North Rim,-112.0860,36.2819,2631,2021-03-02,0.00,-9.1,0.3,9.6
North Rim,-112.0860,36.2819,2631,2021-03-03,0.00,-8.5,0.4,9.2
North Rim,-112.0860,36.2819,2631,2021-03-04,8.99,-4.0,2.5,9.0
North Rim,-112.0860,36.2819,2631,2021-03-05,0.62,-5.1,0.4,5.8
North Rim,-112.0860,36.2819,2631,2021-03-06,0.00,-1.8,4.8,11.4
North Rim,-112.0860,36.2819,2631,2021-03-07,0.00,0.5,7.0,13.6
North Rim,-112.0860,36.2819,2631,2021-03-08,0.00,-0.1,7.0,14.2
North Rim,-112.0860,36.2819,2631,2021-03-09,0.00,-0.7,6.2,13.1
North Rim,-112.0860,36.2819,2631,2021-03-10,0.00,-6.7,0.4,7.6
North Rim,-112.0860,36.2819,2631,2021-03-11,4.93,-9.5,-3.5,2.6
North Rim,-112.0860,36.2819,2631,2021-03-12,19.02,-7.8,-4.6,-1.4
North Rim,-112.0860,36.2819,2631,2021-03-13,8.65,-13.9,-6.8,0.3
North Rim,-112.0860,36.2819,2631,2021-03-14,15.85,-11.1,-5.7,-0.2
North Rim,-112.0860,36.2819,2631,2021-03-15,0.00,-7.4,-0.5,6.3
North Rim,-112.0860,36.2819,2631,2021-03-16,14.45,-6.8,0.4,7.6
North Rim,-112.0860,36.2819,2631,2021-03-17,9.90,-9.5,-2.7,4.2
North Rim,-112.0860,36.2819,2631,2021-03-18,0.00,-6.3,2.3,10.9
North Rim,-112.0860,36.2819,2631,2021-03-19,0.00,-1.7,5.9,13.6
North Rim,-112.0860,36.2819,2631,2021-03-20,0.00,0.4,7.9,15.3
North Rim,-112.0860,36.2819,2631,2021-03-21,0.00,-3.5,3.1,9.7
North Rim,-112.0860,36.2819,2631,2021-03-22,0.00,-10.1,0.5,11.0
North Rim,-112.0860,36.2819,2631,2021-03-23,0.00,-9.6,-0.5,8.6
North Rim,-112.0860,36.2819,2631,2021-03-24,22.76,-6.1,-1.8,2.5
North Rim,-112.0860,36.2819,2631,2021-03-25,0.00,-6.7,-0.4,5.9
North Rim,-112.0860,36.2819,2631,2021-03-26,4.50,-5.5,-2.6,0.3
North Rim,-112.0860,36.2819,2631,2021-03-27,10.94,-6.7,-1.0,4.7
North Rim,-112.0860,36.2819,2631,2021-03-28,0.00,-8.5,0.9,10.3
North Rim,-112.0860,36.2819,2631,2021-03-29,0.00,-5.8,5.6,17.0
North Rim,-112.0860,36.2819,2631,2021-03-30,0.00,0.4,7.3,14.3
North Rim,-112.0860,36.2819,2631,2021-03-31,0.00,-7.4,1.7,10.9
North Rim,-112.0860,36.2819,2631,2021-04-01,0.00,-8.7,1.0,10.7
North Rim,-112.0860,36.2819,2631,2021-04-02,0.00,-3.6,6.3,16.1
North Rim,-112.0860,36.2819,2631,2021-04-03,0.00,1.5,9.3,17.1
North Rim,-112.0860,36.2819,2631,2021-04-04,0.00,1.5,10.9,20.3
North Rim,-112.0860,36.2819,2631,2021-04-05,0.00,4.3,12.8,21.4
North Rim,-112.0860,36.2819,2631,2021-04-06,0.00,2.5,11.1,19.7
North Rim,-112.0860,36.2819,2631,2021-04-07,0.00,0.4,7.2,13.9
North Rim,-112.0860,36.2819,2631,2021-04-08,0.00,-1.9,7.7,17.3
North Rim,-112.0860,36.2819,2631,2021-04-09,0.00,1.5,9.2,16.9
North Rim,-112.0860,36.2819,2631,2021-04-10,0.00,-0.2,7.6,15.4
North Rim,-112.0860,36.2819,2631,2021-04-11,0.00,-0.7,7.6,16.0
North Rim,-112.0860,36.2819,2631,2021-04-12,0.00,0.4,8.7,17.0
North Rim,-112.0860,36.2819,2631,2021-04-13,0.00,0.4,8.7,17.1
North Rim,-112.0860,36.2819,2631,2021-04-14,0.00,2.1,8.0,13.8
North Rim,-112.0860,36.2819,2631,2021-04-15,0.00,0.4,6.5,12.7
North Rim,-112.0860,36.2819,2631,2021-04-16,0.00,-4.0,2.3,8.6
North Rim,-112.0860,36.2819,2631,2021-04-17,0.00,-4.6,3.0,10.7
North Rim,-112.0860,36.2819,2631,2021-04-18,0.00,-5.7,-0.6,4.6
North Rim,-112.0860,36.2819,2631,2021-04-19,0.00,-4.6,1.9,8.4
North Rim,-112.0860,36.2819,2631,2021-04-20,0.00,-4.1,5.1,14.3
North Rim,-112.0860,36.2819,2631,2021-04-21,0.00,-0.3,7.8,15.8
North Rim,-112.0860,36.2819,2631,2021-04-22,0.00,-0.7,6.5,13.8
North Rim,-112.0860,36.2819,2631,2021-04-23,0.62,-1.8,4.6,10.9
North Rim,-112.0860,36.2819,2631,2021-04-24,0.00,-1.8,5.4,12.7
North Rim,-112.0860,36.2819,2631,2021-04-25,0.00,1.5,8.2,14.9
North Rim,-112.0860,36.2819,2631,2021-04-26,0.00,2.6,8.8,15.0
North Rim,-112.0860,36.2819,2631,2021-04-27,6.22,-2.4,2.2,6.8
North Rim,-112.0860,36.2819,2631,2021-04-28,2.97,-2.9,3.2,9.2
North Rim,-112.0860,36.2819,2631,2021-04-29,0.00,-1.4,4.6,10.6
North Rim,-112.0860,36.2819,2631,2021-04-30,0.00,2.5,9.9,17.3
North Rim,-112.0860,36.2819,2631,2021-05-01,0.00,1.6,11.6,21.6
North Rim,-112.0860,36.2819,2631,2021-05-02,0.00,5.6,12.7,19.9
North Rim,-112.0860,36.2819,2631,2021-05-03,0.00,-0.5,8.7,18.0
North Rim,-112.0860,36.2819,2631,2021-05-04,0.00,-1.6,6.1,13.8
North Rim,-112.0860,36.2819,2631,2021-05-05,0.00,-0.6,8.8,18.1
North Rim,-112.0860,36.2819,2631,2021-05-06,0.00,5.5,13.7,21.9
North Rim,-112.0860,36.2819,2631,2021-05-07,0.00,4.5,13.8,23.2
North Rim,-112.0860,36.2819,2631,2021-05-08,0.00,5.6,12.5,19.5
North Rim,-112.0860,36.2819,2631,2021-05-09,0.00,1.1,9.6,18.0
North Rim,-112.0860,36.2819,2631,2021-05-10,0.00,1.7,9.5,17.4
North Rim,-112.0860,36.2819,2631,2021-05-11,0.00,0.5,8.8,17.0
North Rim,-112.0860,36.2819,2631,2021-05-12,0.00,-0.6,8.5,17.5
North Rim,-112.0860,36.2819,2631,2021-05-13,0.00,-0.6,9.8,20.3
North Rim,-112.0860,36.2819,2631,2021-05-14,0.00,3.9,13.3,22.6
North Rim,-112.0860,36.2819,2631,2021-05-15,0.00,7.3,15.2,23.1
North Rim,-112.0860,36.2819,2631,2021-05-16,0.00,4.5,12.7,20.9
North Rim,-112.0860,36.2819,2631,2021-05-17,0.00,0.6,8.6,16.6
North Rim,-112.0860,36.2819,2631,2021-05-18,0.46,2.9,7.9,13.0
North Rim,-112.0860,36.2819,2631,2021-05-19,0.00,5.0,11.7,18.5
North Rim,-112.0860,36.2819,2631,2021-05-20,0.00,7.3,14.4,21.5
North Rim,-112.0860,36.2819,2631,2021-05-21,0.00,6.2,12.5,18.8
North Rim,-112.0860,36.2819,2631,2021-05-22,0.00,-2.8,4.7,12.1
North Rim,-112.0860,36.2819,2631,2021-05-23,0.00,-2.7,3.9,10.5
North Rim,-112.0860,36.2819,2631,2021-05-24,0.00,-2.8,5.2,13.2
North Rim,-112.0860,36.2819,2631,2021-05-25,0.00,-0.1,9.6,19.4
North Rim,-112.0860,36.2819,2631,2021-05-26,0.00,1.6,11.3,21.0
North Rim,-112.0860,36.2819,2631,2021-05-27,0.00,6.7,12.8,18.8
North Rim,-112.0860,36.2819,2631,2021-05-28,0.00,7.3,15.2,23.1
North Rim,-112.0860,36.2819,2631,2021-05-29,0.00,6.7,15.2,23.7
North Rim,-112.0860,36.2819,2631,2021-05-30,0.00,8.4,15.0,21.6
North Rim,-112.0860,36.2819,2631,2021-05-31,0.00,5.0,12.8,20.6
North Rim,-112.0860,36.2819,2631,2021-06-01,0.00,5.6,12.9,20.1
North Rim,-112.0860,36.2819,2631,2021-06-02,0.00,5.6,14.7,23.8
North Rim,-112.0860,36.2819,2631,2021-06-03,0.00,13.5,19.1,24.8
North Rim,-112.0860,36.2819,2631,2021-06-04,0.00,13.9,20.6,27.2
North Rim,-112.0860,36.2819,2631,2021-06-05,0.00,12.3,20.0,27.7
North Rim,-112.0860,36.2819,2631,2021-06-06,0.00,11.8,19.9,28.1
North Rim,-112.0860,36.2819,2631,2021-06-07,0.00,7.7,16.9,26.0
North Rim,-112.0860,36.2819,2631,2021-06-08,0.00,7.7,15.2,22.7
North Rim,-112.0860,36.2819,2631,2021-06-09,0.00,5.5,14.3,23.2
North Rim,-112.0860,36.2819,2631,2021-06-10,0.00,6.6,15.1,23.7
North Rim,-112.0860,36.2819,2631,2021-06-11,0.00,5.4,14.0,22.6
North Rim,-112.0860,36.2819,2631,2021-06-12,0.00,4.8,15.4,25.9
North Rim,-112.0860,36.2819,2631,2021-06-13,0.00,6.6,17.6,28.6
North Rim,-112.0860,36.2819,2631,2021-06-14,0.00,8.8,19.3,29.7
North Rim,-112.0860,36.2819,2631,2021-06-15,0.00,13.9,22.4,30.9
North Rim,-112.0860,36.2819,2631,2021-06-16,0.00,12.3,22.9,33.5
North Rim,-112.0860,36.2819,2631,2021-06-17,0.00,13.9,22.7,31.6
North Rim,-112.0860,36.2819,2631,2021-06-18,0.00,13.9,23.2,32.4
North Rim,-112.0860,36.2819,2631,2021-06-19,0.00,13.4,21.4,29.5
North Rim,-112.0860,36.2819,2631,2021-06-20,0.00,13.4,22.2,30.9
North Rim,-112.0860,36.2819,2631,2021-06-21,0.00,13.9,22.6,31.4
North Rim,-112.0860,36.2819,2631,2021-06-22,0.00,13.9,22.1,30.3
North Rim,-112.0860,36.2819,2631,2021-06-23,0.00,12.8,19.7,26.5
North Rim,-112.0860,36.2819,2631,2021-06-24,2.52,9.5,15.5,21.4
North Rim,-112.0860,36.2819,2631,2021-06-25,0.55,9.5,16.6,23.6
North Rim,-112.0860,36.2819,2631,2021-06-26,0.44,9.5,16.3,23.1
North Rim,-112.0860,36.2819,2631,2021-06-27,0.00,8.4,15.4,22.4
North Rim,-112.0860,36.2819,2631,2021-06-28,0.00,10.6,17.2,23.9
North Rim,-112.0860,36.2819,2631,2021-06-29,0.00,9.5,16.1,22.8
North Rim,-112.0860,36.2819,2631,2021-06-30,3.31,6.6,14.8,23.0
North Rim,-112.0860,36.2819,2631,2021-07-01,0.58,4.9,13.9,22.9
North Rim,-112.0860,36.2819,2631,2021-07-02,0.00,12.3,19.5,26.7
North Rim,-112.0860,36.2819,2631,2021-07-03,0.00,12.8,19.5,26.2
North Rim,-112.0860,36.2819,2631,2021-07-04,0.00,12.3,19.8,27.2
North Rim,-112.0860,36.2819,2631,2021-07-05,0.00,12.8,20.3,27.9
North Rim,-112.0860,36.2819,2631,2021-07-06,0.52,14.5,21.6,28.6
North Rim,-112.0860,36.2819,2631,2021-07-07,0.00,14.5,21.7,28.9
North Rim,-112.0860,36.2819,2631,2021-07-08,0.00,13.8,21.9,29.9
North Rim,-112.0860,36.2819,2631,2021-07-09,1.70,16.3,23.4,30.5
North Rim,-112.0860,36.2819,2631,2021-07-10,0.00,18.9,25.5,32.1
North Rim,-112.0860,36.2819,2631,2021-07-11,0.00,16.2,24.4,32.6
North Rim,-112.0860,36.2819,2631,2021-07-12,1.42,15.7,24.3,33.0
North Rim,-112.0860,36.2819,2631,2021-07-13,0.00,16.7,23.3,29.8
North Rim,-112.0860,36.2819,2631,2021-07-14,8.96,11.6,20.8,29.9
North Rim,-112.0860,36.2819,2631,2021-07-15,14.40,9.9,18.5,27.1
North Rim,-112.0860,36.2819,2631,2021-07-16,14.81,9.9,16.4,22.8
North Rim,-112.0860,36.2819,2631,2021-07-17,0.93,11.2,18.0,24.8
North Rim,-112.0860,36.2819,2631,2021-07-18,0.00,13.4,19.1,24.9
North Rim,-112.0860,36.2819,2631,2021-07-19,1.44,12.8,18.5,24.2
North Rim,-112.0860,36.2819,2631,2021-07-20,0.00,12.8,18.8,24.8
North Rim,-112.0860,36.2819,2631,2021-07-21,5.91,10.6,18.7,26.7
North Rim,-112.0860,36.2819,2631,2021-07-22,5.78,13.4,20.3,27.3
North Rim,-112.0860,36.2819,2631,2021-07-23,0.56,13.4,19.5,25.7
North Rim,-112.0860,36.2819,2631,2021-07-24,20.50,11.1,16.5,21.8
North Rim,-112.0860,36.2819,2631,2021-07-25,4.85,9.4,15.8,22.1
North Rim,-112.0860,36.2819,2631,2021-07-26,0.95,9.4,14.8,20.2
North Rim,-112.0860,36.2819,2631,2021-07-27,3.08,11.1,16.8,22.5
North Rim,-112.0860,36.2819,2631,2021-07-28,5.60,10.0,17.8,25.5
North Rim,-112.0860,36.2819,2631,2021-07-29,0.44,11.2,16.9,22.7
North Rim,-112.0860,36.2819,2631,2021-07-30,16.94,9.9,17.7,25.4
North Rim,-112.0860,36.2819,2631,2021-07-31,3.20,9.4,15.3,21.1
North Rim,-112.0860,36.2819,2631,2021-08-01,0.56,8.8,15.0,21.2
North Rim,-112.0860,36.2819,2631,2021-08-02,0.62,8.3,16.5,24.6
North Rim,-112.0860,36.2819,2631,2021-08-03,0.00,9.4,17.7,25.9
North Rim,-112.0860,36.2819,2631,2021-08-04,0.00,11.2,19.1,27.1
North Rim,-112.0860,36.2819,2631,2021-08-05,0.00,10.5,18.6,26.7
North Rim,-112.0860,36.2819,2631,2021-08-06,0.00,10.6,20.2,29.7
North Rim,-112.0860,36.2819,2631,2021-08-07,0.00,13.4,20.2,27.0
North Rim,-112.0860,36.2819,2631,2021-08-08,0.00,11.1,19.1,27.0
North Rim,-112.0860,36.2819,2631,2021-08-09,0.00,11.7,19.6,27.4
North Rim,-112.0860,36.2819,2631,2021-08-10,0.00,12.8,20.6,28.4
North Rim,-112.0860,36.2819,2631,2021-08-11,2.33,11.2,18.1,24.9
North Rim,-112.0860,36.2819,2631,2021-08-12,0.00,11.2,18.0,24.8
North Rim,-112.0860,36.2819,2631,2021-08-13,0.00,13.4,19.4,25.3
North Rim,-112.0860,36.2819,2631,2021-08-14,0.00,13.9,21.2,28.4
North Rim,-112.0860,36.2819,2631,2021-08-15,0.85,12.8,19.4,26.1
North Rim,-112.0860,36.2819,2631,2021-08-16,1.69,11.2,19.4,27.6
North Rim,-112.0860,36.2819,2631,2021-08-17,0.00,9.5,18.7,28.0
North Rim,-112.0860,36.2819,2631,2021-08-18,7.81,9.9,18.4,26.9
North Rim,-112.0860,36.2819,2631,2021-08-19,8.44,9.5,12.5,15.6
North Rim,-112.0860,36.2819,2631,2021-08-20,0.87,7.2,12.7,18.3
North Rim,-112.0860,36.2819,2631,2021-08-21,0.00,8.3,14.8,21.3
North Rim,-112.0860,36.2819,2631,2021-08-22,0.00,8.3,15.2,22.0
North Rim,-112.0860,36.2819,2631,2021-08-23,0.00,7.7,15.7,23.7
North Rim,-112.0860,36.2819,2631,2021-08-24,0.00,7.7,15.7,23.7
North Rim,-112.0860,36.2819,2631,2021-08-25,0.00,8.8,17.1,25.4
North Rim,-112.0860,36.2819,2631,2021-08-26,0.00,11.2,19.1,27.0
North Rim,-112.0860,36.2819,2631,2021-08-27,0.00,12.3,19.9,27.5
North Rim,-112.0860,36.2819,2631,2021-08-28,0.00,10.0,19.0,28.0
North Rim,-112.0860,36.2819,2631,2021-08-29,0.00,13.4,20.7,28.0
North Rim,-112.0860,36.2819,2631,2021-08-30,0.00,11.2,19.6,28.1
North Rim,-112.0860,36.2819,2631,2021-08-31,3.22,12.3,19.9,27.4
North Rim,-112.0860,36.2819,2631,2021-09-01,5.03,11.2,16.9,22.5
North Rim,-112.0860,36.2819,2631,2021-09-02,7.84,8.9,13.6,18.4
North Rim,-112.0860,36.2819,2631,2021-09-03,6.54,8.3,15.3,22.3
North Rim,-112.0860,36.2819,2631,2021-09-04,0.00,7.3,15.6,23.9
North Rim,-112.0860,36.2819,2631,2021-09-05,0.00,7.7,16.5,25.2
North Rim,-112.0860,36.2819,2631,2021-09-06,0.00,8.8,17.9,27.0
North Rim,-112.0860,36.2819,2631,2021-09-07,0.00,10.5,18.6,26.6
North Rim,-112.0860,36.2819,2631,2021-09-08,0.00,8.8,17.7,26.6
North Rim,-112.0860,36.2819,2631,2021-09-09,0.00,10.0,19.8,29.5
North Rim,-112.0860,36.2819,2631,2021-09-10,0.00,13.4,19.7,26.0
North Rim,-112.0860,36.2819,2631,2021-09-11,0.00,11.2,18.6,26.0
North Rim,-112.0860,36.2819,2631,2021-09-12,0.00,10.6,17.6,24.5
North Rim,-112.0860,36.2819,2631,2021-09-13,0.00,9.5,17.9,26.2
North Rim,-112.0860,36.2819,2631,2021-09-14,0.00,9.5,17.9,26.3
North Rim,-112.0860,36.2819,2631,2021-09-15,0.00,7.3,16.5,25.7
North Rim,-112.0860,36.2819,2631,2021-09-16,0.00,10.6,17.7,24.7
North Rim,-112.0860,36.2819,2631,2021-09-17,0.00,7.8,15.7,23.6
North Rim,-112.0860,36.2819,2631,2021-09-18,0.00,10.6,17.6,24.6
North Rim,-112.0860,36.2819,2631,2021-09-19,10.53,8.4,14.5,20.7
North Rim,-112.0860,36.2819,2631,2021-09-20,0.00,7.1,13.2,19.4
North Rim,-112.0860,36.2819,2631,2021-09-21,0.00,3.2,12.4,21.6
North Rim,-112.0860,36.2819,2631,2021-09-22,0.00,2.1,12.2,22.2
North Rim,-112.0860,36.2819,2631,2021-09-23,0.00,4.4,14.2,24.0
North Rim,-112.0860,36.2819,2631,2021-09-24,0.00,4.5,12.1,19.8
North Rim,-112.0860,36.2819,2631,2021-09-25,0.00,3.8,12.4,21.0
North Rim,-112.0860,36.2819,2631,2021-09-26,0.00,2.8,11.9,21.0
North Rim,-112.0860,36.2819,2631,2021-09-27,0.00,6.7,11.5,16.2
North Rim,-112.0860,36.2819,2631,2021-09-28,0.67,7.3,14.0,20.6
North Rim,-112.0860,36.2819,2631,2021-09-29,2.37,6.7,10.8,14.9
North Rim,-112.0860,36.2819,2631,2021-09-30,0.51,-0.5,7.0,14.5
North Rim,-112.0860,36.2819,2631,2021-10-01,0.00,0.3,6.7,13.0
North Rim,-112.0860,36.2819,2631,2021-10-02,0.28,0.1,7.4,14.8
North Rim,-112.0860,36.2819,2631,2021-10-03,0.00,1.9,9.2,16.5
North Rim,-112.0860,36.2819,2631,2021-10-04,0.00,3.2,10.2,17.1
North Rim,-112.0860,36.2819,2631,2021-10-05,6.25,3.8,11.0,18.3
North Rim,-112.0860,36.2819,2631,2021-10-06,24.50,3.3,7.8,12.3
North Rim,-112.0860,36.2819,2631,2021-10-07,0.00,2.5,8.5,14.4
North Rim,-112.0860,36.2819,2631,2021-10-08,0.00,3.9,9.5,15.2
North Rim,-112.0860,36.2819,2631,2021-10-09,2.57,4.3,8.6,12.9
North Rim,-112.0860,36.2819,2631,2021-10-10,0.00,0.3,6.1,11.8
North Rim,-112.0860,36.2819,2631,2021-10-11,0.00,-1.5,5.7,12.9
North Rim,-112.0860,36.2819,2631,2021-10-12,8.69,-2.6,4.4,11.4
North Rim,-112.0860,36.2819,2631,2021-10-13,9.50,-7.7,-3.7,0.3
North Rim,-112.0860,36.2819,2631,2021-10-14,0.00,-7.0,-0.3,6.3
North Rim,-112.0860,36.2819,2631,2021-10-15,0.00,-4.3,2.3,8.9
North Rim,-112.0860,36.2819,2631,2021-10-16,0.00,-4.1,2.4,8.8
North Rim,-112.0860,36.2819,2631,2021-10-17,0.00,-0.2,7.2,14.5
North Rim,-112.0860,36.2819,2631,2021-10-18,0.00,2.2,8.5,14.7
North Rim,-112.0860,36.2819,2631,2021-10-19,0.00,-1.4,4.5,10.4
North Rim,-112.0860,36.2819,2631,2021-10-20,0.00,-2.5,4.1,10.8
North Rim,-112.0860,36.2819,2631,2021-10-21,0.00,-1.5,5.5,12.6
North Rim,-112.0860,36.2819,2631,2021-10-22,0.00,0.3,7.5,14.8
North Rim,-112.0860,36.2819,2631,2021-10-23,0.00,0.4,8.3,16.1
North Rim,-112.0860,36.2819,2631,2021-10-24,0.00,2.4,7.5,12.5
North Rim,-112.0860,36.2819,2631,2021-10-25,0.00,3.4,8.7,13.9
North Rim,-112.0860,36.2819,2631,2021-10-26,10.99,1.4,8.1,14.8
North Rim,-112.0860,36.2819,2631,2021-10-27,0.00,-4.3,0.3,4.9
North Rim,-112.0860,36.2819,2631,2021-10-28,0.00,-2.3,4.3,11.0
North Rim,-112.0860,36.2819,2631,2021-10-29,0.00,0.7,7.0,13.3
North Rim,-112.0860,36.2819,2631,2021-10-30,0.00,1.5,8.7,15.9
North Rim,-112.0860,36.2819,2631,2021-10-31,0.00,1.7,8.2,14.7
North Rim,-112.0860,36.2819,2631,2021-11-01,0.00,4.2,8.9,13.6
North Rim,-112.0860,36.2819,2631,2021-11-02,0.00,0.9,6.4,12.0
North Rim,-112.0860,36.2819,2631,2021-11-03,0.00,-1.4,6.1,13.6
North Rim,-112.0860,36.2819,2631,2021-11-04,0.00,-0.9,6.9,14.6
North Rim,-112.0860,36.2819,2631,2021-11-05,0.00,0.2,8.6,17.0
North Rim,-112.0860,36.2819,2631,2021-11-06,0.00,4.2,11.1,18.1
North Rim,-112.0860,36.2819,2631,2021-11-07,0.00,3.1,9.5,15.9
North Rim,-112.0860,36.2819,2631,2021-11-08,0.00,2.0,7.8,13.6
North Rim,-112.0860,36.2819,2631,2021-11-09,0.00,1.4,7.3,13.1
North Rim,-112.0860,36.2819,2631,2021-11-10,0.00,0.3,4.7,9.2
North Rim,-112.0860,36.2819,2631,2021-11-11,0.00,-1.9,5.2,12.4
North Rim,-112.0860,36.2819,2631,2021-11-12,0.00,-1.5,6.0,13.6
North Rim,-112.0860,36.2819,2631,2021-11-13,0.00,-0.9,6.3,13.5
